Home,Away,Miles,,,,,,
Fulham,Bournemouth,100,,,,,,
Fulham,Watford,24.3,,,,,,
Fulham,Brighton,60.1,,,,,,
Fulham,Huddersfield,194,,,,,,
Fulham,Sheffield United,163,,,,,,
Fulham,Leeds,198,,,,,,
Liverpool,Newcastle,173,,,,,,
Liverpool,Stoke,58,,,,,,
Liverpool,Tottenham,211,,,,,,
Liverpool,West Brom,93.2,,,,,,
Liverpool,Man City,34.7,,,,,,
Liverpool,Wigan,17.3,,,,,,
Liverpool,Portsmouth,255,,,,,,
Liverpool,Wolves,86.2,,,,,,
Liverpool,Birmingham,99.2,,,,,,
Liverpool,Burnley,52.1,,,,,,
Liverpool,Blackpool,53.8,,,,,,
Liverpool,QPR,210,,,,,,
Liverpool,Swansea,174,,,,,,
Liverpool,Norwich,255,,,,,,
Liverpool,Reading,211,,,,,,
Liverpool,Southampton,237,,,,,,
Liverpool,Crystal Palace,240,,,,,,
Liverpool,Cardiff,201,,,,,,
Liverpool,Leicester,120,,,,,,
Liverpool,Bournemouth,262,,,,,,
Liverpool,Watford,196,,,,,,
Liverpool,Brighton,271,,,,,,
Liverpool,Huddersfield,55.9,,,,,,
Liverpool,Sheffield United,77.7,,,,,,
Liverpool,Leeds,67.5,,,,,,
Newcastle,Stoke,194,,,,,,
Newcastle,Tottenham,282,,,,,,
Newcastle,West Brom,210,,,,,,
Newcastle,Man City,142,,,,,,
Newcastle,Wigan,158,,,,,,
Newcastle,Portsmouth,340,,,,,,
Newcastle,Wolves,204,,,,,,
Newcastle,Birmingham,202,,,,,,
Newcastle,Burnley,116,,,,,,
Newcastle,Blackpool,149,,,,,,
Newcastle,QPR,281,,,,,,
Newcastle,Swansea,354,,,,,,
Newcastle,Norwich,258,,,,,,
Newcastle,Reading,296,,,,,,
Newcastle,Southampton,322,,,,,,
Newcastle,Crystal Palace,297,,,,,,
Newcastle,Cardiff,316,,,,,,
Newcastle,Leicester,188,,,,,,
Newcastle,Bournemouth,347,,,,,,
Newcastle,Watford,267,,,,,,
Newcastle,Brighton,345,,,,,,
Newcastle,Huddersfield,118,,,,,,
Newcastle,Sheffield United,131,,,,,,
Newcastle,Leeds,103,,,,,,
Stoke,Tottenham,156,,,,,,
Stoke,West Brom,39,,,,,,
Stoke,Man City,49.3,,,,,,
Stoke,Wigan,51.7,,,,,,
Stoke,Portsmouth,201,,,,,,
Stoke,Wolves,32.6,,,,,,
Stoke,Birmingham,45.1,,,,,,
Stoke,Burnley,78.8,,,,,,
Stoke,Blackpool,87.1,,,,,,
Stoke,QPR,156,,,,,,
Stoke,Swansea,148,,,,,,
Stoke,Norwich,201,,,,,,
Stoke,Reading,157,,,,,,
Stoke,Southampton,183,,,,,,
Stoke,Crystal Palace,186,,,,,,
Stoke,Cardiff,147,,,,,,
Stoke,Leicester,63.2,,,,,,
Stoke,Bournemouth,208,,,,,,
Stoke,Watford,142,,,,,,
Stoke,Brighton,217,,,,,,
Stoke,Huddersfield,80.1,,,,,,
Stoke,Sheffield United,48.9,,,,,,
Stoke,Leeds,92.2,,,,,,
Tottenham,West Brom,123,,,,,,
Tottenham,Man City,200,,,,,,
Tottenham,Wigan,203,,,,,,
Tottenham,Portsmouth,94,,,,,,
Tottenham,Wolves,134,,,,,,
Tottenham,Birmingham,118,,,,,,
Tottenham,Burnley,230,,,,,,
Tottenham,Blackpool,238,,,,,,
Tottenham,QPR,12.1,,,,,,
Tottenham,Swansea,210,,,,,,
Tottenham,Norwich,111,,,,,,
Tottenham,Reading,53.9,,,,,,
Tottenham,Southampton,92.2,,,,,,
Tottenham,Crystal Palace,26.3,,,,,,
Tottenham,Cardiff,177,,,,,,
Tottenham,Leicester,100,,,,,,
Tottenham,Bournemouth,130,,,,,,
Tottenham,Watford,19.7,,,,,,
Tottenham,Brighton,83.7,,,,,,
Tottenham,Huddersfield,189,,,,,,
Tottenham,Sheffield United,159,,,,,,
Tottenham,Leeds,194,,,,,,
West Brom,Man City,85,,,,,,
West Brom,Wigan,87.4,,,,,,
West Brom,Portsmouth,165,,,,,,
West Brom,Wolves,11.1,,,,,,
West Brom,Birmingham,6.5,,,,,,
West Brom,Burnley,116,,,,,,
West Brom,Blackpool,123,,,,,,
West Brom,QPR,123,,,,,,
West Brom,Swansea,146,,,,,,
West Brom,Norwich,168,,,,,,
West Brom,Reading,120,,,,,,
West Brom,Southampton,147,,,,,,
West Brom,Crystal Palace,150,,,,,,
West Brom,Cardiff,109,,,,,,
West Brom,Leicester,48.6,,,,,,
West Brom,Bournemouth,172,,,,,,
West Brom,Watford,109,,,,,,
West Brom,Brighton,181,,,,,,
West Brom,Huddersfield,118,,,,,,
West Brom,Sheffield United,86.8,,,,,,
West Brom,Leeds,122,,,,,,
Man City,Wigan,26.4,,,,,,
Man City,Portsmouth,244,,,,,,
Man City,Wolves,75.7,,,,,,
Man City,Birmingham,88.6,,,,,,
Man City,Burnley,29.6,,,,,,
Man City,Blackpool,53.6,,,,,,
Man City,QPR,200,,,,,,
Man City,Swansea,187,,,,,,
Man City,Norwich,188,,,,,,
Man City,Reading,200,,,,,,
Man City,Southampton,226,,,,,,
Man City,Crystal Palace,229,,,,,,
Man City,Cardiff,190,,,,,,
Man City,Leicester,110,,,,,,
Man City,Bournemouth,251,,,,,,
Man City,Watford,186,,,,,,
Man City,Brighton,260,,,,,,
Man City,Huddersfield,28.2,,,,,,
Man City,Sheffield United,37.3,,,,,,
Man City,Leeds,40.3,,,,,,
Wigan,Portsmouth,247,,,,,,
Wigan,Wolves,78.5,,,,,,
Wigan,Birmingham,91.4,,,,,,
Wigan,Burnley,32.6,,,,,,
Wigan,Blackpool,36.6,,,,,,
Wigan,QPR,202,,,,,,
Wigan,Swansea,190,,,,,,
Wigan,Norwich,247,,,,,,
Wigan,Reading,203,,,,,,
Wigan,Southampton,229,,,,,,
Wigan,Crystal Palace,232,,,,,,
Wigan,Cardiff,193,,,,,,
Wigan,Leicester,112,,,,,,
Wigan,Bournemouth,254,,,,,,
Wigan,Watford,188,,,,,,
Wigan,Brighton,263,,,,,,
Wigan,Huddersfield,44.7,,,,,,
Wigan,Sheffield United,64.1,,,,,,
Wigan,Leeds,56.8,,,,,,
Portsmouth,Wolves,177,,,,,,
Portsmouth,Birmingham,161,,,,,,
Portsmouth,Burnley,276,,,,,,
Portsmouth,Blackpool,282,,,,,,
Portsmouth,QPR,78.6,,,,,,
Portsmouth,Swansea,178,,,,,,
Portsmouth,Norwich,206,,,,,,
Portsmouth,Reading,52.6,,,,,,
Portsmouth,Southampton,19.7,,,,,,
Portsmouth,Crystal Palace,71.2,,,,,,
Portsmouth,Cardiff,141,,,,,,
Portsmouth,Leicester,159,,,,,,
Portsmouth,Bournemouth,51,,,,,,
Portsmouth,Watford,82.1,,,,,,
Portsmouth,Brighton,51.5,,,,,,
